provincia,municipio,distrito_municipal,recinto_nombre,recinto_direccion,sector,colegios_lista
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO ADVENTISTA LA FE,STA. RITA EDIF. 6 APT. 2 M,AGUA DULCE (PARTE DEL 27 DE FEBRERO),"0662,0662A,0663,0663A,1542"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA DOMINGO SAVIO,AV. FCO. DEL R. SANCHEZ,AGUA DULCE (PARTE DEL 27 DE FEBRERO)z,"0654,0654A,0654B,0654C,0654D,0654E,0654F,0655,0655A,0655B,0656,0656A,0657,0657A,0658,0658A,0659,0659A,0660,0660A,0661,0661A,0664,0664A,0665,0665A,0666,0666A,0667,0667A,0668,0668A,0669,0669A,0671,0671A,0677,0677A,0677B,1843,1855"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,"CRUZ ROJA DOMINICANA, ESTA- CION EL BOMBERITO",CALLE 11-A/PEDRO E. MONTAS,LOS GUANDULES,"0684,0684A,0687,0687A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO MADRE MAZZARELLO,CALLE MANUELA DIEZ NO. 76 ESQ. CALLE ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0635,0635A,0642,0642A,1740,1856"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA REPUBLICA DE HON- DURAS,ALBERT THOMAS/FEDERICO V.,MARIA AUXILIADORA,"0609,0609A,0610,0610A,0611,0611A,0618,0618A,0619,0619A,0629,0629A,0630,0630A,0631,0631A,0632,0633,0634,0634A,0636,0636A,0637,0637A,0638,0638A,0639,0639A,0640,0640A,0641,0678,0678A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,BIBLIOTECA PUBLICA FROILAN TAVAREZ HIJO,TTE. AMADO GARCIA NO.155,MEJORAMIENTO SOCIAL,"0594,0595,0595A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO DERMATOLOGICO DR. HUBERTO BOGAERT DIAZ,CALLE FEDERICO VELAZQUEZ ESQ. CALLE ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0606,0606A,0607,0607A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO TECNICO SALESIANO,ALBERT THOMAS NO.66,MEJORAMIENTO SOCIAL,"0621,0621A,0622,0622A,0623,0623A,0624,0624A,0625,0625A,0626,0626A,0627,0627A,0628,0628A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ORATORIO MARIA AUXILIADORA,M. DIEZ/ALBERT THOMAS,MEJORAMIENTO SOCIAL,"0596,0596A,0598,0599,0600,0600A,0601,0601A,0602,0602A,0603,0604,0605,0605A,0620,0620A,1741,1857"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB DEP. CULT. RAFAEL L. SOLANO,FRANK DIAZ 10,SAN MARTIN DE POR- RES (GUACHUPITA),"0646,0646A,0647,0647A,0653,0653A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIM. SAN MARTIN DE PORRES,CALLE HERMANAS MIRABAL ESQ. ASCANO PEREZ,SAN MARTIN DE POR- RES (GUACHUPITA),"0643,0643A,0644,0644A,0644B,0645,0645A,0648,0648A,0649,0649A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB MAURICIO BAEZ,MAURICIO BAEZ 175,VILLA JUANA,"0527,0527A,0527B,0528,0528A,0528B,0528C,1743,1837,1892,2015"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CONF. AUTONOMA SIND. CLASISTA CASC,JUAN ERAZO NO.39,VILLA JUANA,"0502,0503,0504,0505,0506,0514,0526,0526A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA CLUB MAURICIO BAEZ,MAURICIO BAEZ 162,VILLA JUANA,"0520,0520A,0521,0521A,0538,0538A,0539,0539A,0540,0540A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA BASICA REPUBLICA DE NICARAGUA,PEÑA BATLLE/MOCA,VILLA JUANA,"0479,0479A,0480,0480A,0481,0481A,0481B,0482,0483,0484,0522,0522A,0523,0523A,0524,0525"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA CAPILLA NUESTRA SEÑORA DE LA ALTAGRACIA,LUIS REYES ACOSTA NO.111,27 DE FEBRERO,"0679,0679A,0679B,0680,0680A,0685,0685A,0686,0686A,0688,0688A,1744,1930"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA MARIA AUXIL- IADORA,"21 DE ENERO, LOMA DEL CHIVO",27 DE FEBRERO,"0689,0689A,0690,0690A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA REPUBLICA DE ARUBA,"CALLE RESPALDO 42 NO. 2, EL CALICHE DE CRISTO REY",EL CALICHE DE CRISTO REY,"1448,1448A,1450,1450A,1537,1538"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PARROQUIAL CRISTO REY,PROLONGACION AVENIDA TIRADENTES NO. 77,LA AGUSTINA,"0356,0356A,0357,0357A,0358,0358A,0359,0359A,0360,0360A,1745"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO BENITO JUAREZ,AVE. NICOLAS DE OVANDO NO. 485,CRISTO REY,"0373,0373A,0386,0386A,0387,0387A,0388,0389,1290,1290A,1291,1291A,1346,1346A,1412,1412A,1539,1799,1858,2016"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO POLITECNICO CARDE- NAL SANCHA,AV. MAXIMO GOMEZ/AV. DE LOS MARTIRES,VILLAS AGRICOLAS,"0573,0573A,0574,0574A,0575,0575A,0576,0576A,0577,0577A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO DOMINICANO DE LA SALLE,AVENIDA BOLIVAR NO. 807,LA ESPERILLA,"0190,0190A,0191,0191A,0192,0192A,0193,0193A,0193B,1505,1791,1859,1932,2017"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA BASICA PROF. JUAN BOSCH,AVENIDA LA VEGA REAL NO. 341,NUEVO ARROYO HONDO,"0374,0374A,0375,0376,0376A,0377,0377A,0378,0378A,0379,0379A,0380,0380A,0380B,1838,1890"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO SAN ELIAS PROFETA,HNOS. PINZON/P. L. CEDEÑO,LUPERON,"0475,0549,0549A,0720,0720A,0721,0721A,0722"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA PALACIO ESCOLAR ESPAÑA,C. MARIA MONTEZ ESQ.30,VILLAS AGRICOLAS,"0550,0550A,0551,0551A,0552,0552A,0552B,0553,0553A,0554,0555,0555A,0556,0556A,0557,0557A,0558,0558A,0560,0560A,0561,0561A,0562,0562A,0563,0563A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PUBLICA SANTA MAR- THA,CALLE RAMON CACERES NO. 159,"LAS FLORES, CRISTO REY","0400,0400A,0401,0401A,0402,0402A,0406,0406A,0407,1292,1293,1293A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB DEPORTIVO Y CULTURAL LOS CACHORROS,ORTEGA Y GASSET/OVANDO,CRISTO REY,"0396,0396A,0397,0397A,0404,0404A,0404B,0404C,0405,0405A,1800,1860"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,SEM. PONTIFICIO SANTO TOMAS DE AQUINO,AV. SARASOTA ESQ. NUÑEZ DE CACERES,EL MIRADOR SUR,"0273,0273A,0274,0274A,0274B,0275,0275A,0275B,0276,0276A,0277,0277A,0277B,1352,1352A,1352B,1520"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA URB. GRAL ENRIQUE JIMENEZ MOYA,CALLE INTERIOR B ESQ. A,MATA HAMBRE,"1371,1371A,1508,1893"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ORIENTACION PARA LA JOVEN,AVENIDA CORREA Y CIDRON ESQ. INTERIOR A,MATA HAMBRE,"0214,0214A,0215,0215A,0215B"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,SUBCENTRO SANITARIO DE SALUD,CALLE INTERIOR H NO.13,MATA HAMBRE,"0220,0220A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO SANTA RITA,CALLE 37 NO 40,CRISTO REY,"0390,0390A,0391,0391A,0392,0392A,0392B,0393,0393A,0394,0394A,0395,0395A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO POLITECNICO ANGE- LES CUSTODIO,CALLE 47 ESQ. SAN J. DE LA MAGUANA,CRISTO REY,"0367,0367A,0368,0368A,0368B,0369,0369A,0370,0370A,0371,0371A,0372,0372A,1792,1834,1861"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO UTESIANO DE ESTUDIOS INTEGRADOS CUEI - UT,CALLE TRINITARIA NO.2,SAN CARLOS,"0041,0042,0043,0044,0044A,0045,0045A,0057,0057A,0058,0058A,0085,0094,0095,0095A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CUERPO DE BOMBEROS DEL DISTRITO NACIONAL,AV. MELLA/E. PRUD-HOMME,SAN CARLOS,"0037,0037A,0038,0038A,0039,0039A,0040,0040A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA REPUBLICA DE CHILE,CALLE MONTECRISTI NO. 2 ESQ. CALLE JUAN BAUTISTA VICINI,SAN CARLOS,"0055,0055A,0056,0056A,0061,0061A,0062,0063,0064,0065,0066,0066A,0067,0068,0068A,0069,0070,0071,0072,0075"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA REPUBLICA DEL BRASIL,16 DE AGOSTO/TRINITARIA,SAN CARLOS,"0046,0047,0048,0048A,0049,0050,0051,0051A,0051B,0052,0052A,0053,0053A,0054"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,JUZGADO DE PAZ 2DA. CIRCUN- SCRIPCION,BARAHONA ESQ. ABREU,SAN CARLOS,"0059,0060,0060A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO SAN GABRIEL,CARRETERA SANCHEZ KLM.9,SAN GABRIEL,"0250,0250A,0250B,0250C,0250D,0251,0251A,0252,0252A,0253,0253A,0253B,0253C,0254,0254A,1747,1801,2018"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESC. ED. BASICA REV. FCO. XAVIER BILLINI,AVENIDA CAYETANO GER- MOSEN ESQ. ESTHER ROSA- RIO,SAN GABRIEL,"1286,1286A,1340,1340A,1395,1395A,1424,1424A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ARCHIVO GENERAL DE LA NACION,CALLE MODESTO DIAZ NO.2,SAN GERONIMO ( CIUDAD UNIVERSITARIA Y NACO ),"0182,0182A,0183,0183A,0184,2019"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CASA PROVINCIAL MARIA AUXIL- IADORA,SAN JUAN BOSCO/DR. DEL- GADO,DON BOSCO,"0175,0175A,0176"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO DON BOSCO,SAN JUAN BOSCO NO.27,DON BOSCO,"0170,0170A,0171,0171A,0172,0172A,0173,0173A,0174,0174A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO PARROQUIAL SAN PABLO APOSTOL,CALLE LOS MARTIRES NO. 11 ESQ. CALLE JUAN ALEJANDRO IBARRA,CRISTO REY,"0381,0381A,0381B,0382,0382A,0383,0383A,0384,0384A,0385,0385A,1748,1854,1862,1931,2020"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB SIMON BOLIVAR,CALLE 39/30 DE MAYO,24 DE ABRIL,"0800,0800A,0800B,0800C,0801,0802,0802A,0802B,1749,1802,2021"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO EPISCOPAL SAN AN- DRES,MARCOS RUIZ/SAN ANDRES,VILLA JUANA,"0453,0454,0455,0456,0456A,0457,0457A,0458,0472,0474,0547,0547A,0548"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO ESPIRITU SANTO,CALLE MANUEL U. GOMEZ 61,VILLA CONSUELO,"0446,0446A,0447,0447A,0448,0448A,0449,0450,0451,0452,0452A,1790"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO PARROQUIAL SAN JOSE,DANIEL HENRIQUEZ NO.50,VILLA CONSUELO,"0419,0419A,0464,0464A,0465,0465A,0466,0466A,0467,0468,0468A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO SAN PEDRO APOSTOL,JOSE JOAQUIN PUELLO 19,VILLA CONSUELO,"0424,0424A,0425,0425A,0426,0426A,0427,0427A,0428,0428A,0433,0433A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,DISPENSARIO ANTITUBERCULOSO,BARAHONA/MARIA DE TOLEDO,VILLA CONSUELO,"0439,0439A,0440,0440A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA VOCACIONAL FEMENI- NO CONCEPCION BONA,CALLE DR. TEJADA FLORENTI- NO ESQ. CALLE SAN MARTIN,VILLA CONSUELO,"0434,0434A,0435,0435A,0436,0436A,0437,0437A,0438,0438A,0443,0443A,0444,0444A,0445,0445A,0517,0518"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO JUAN PABLO DUARTE,AVENIDA DUARTE/CALLE 13,VILLA CONSUELO,"0409,0409A,0410,0410A,0411,0411A,0412,0412A,0413,0413A,0414,0414A,0469,0469A,0469B,0470,0470A,0471,0471B,0608,0608A,0612,0612A,0613,0614,0614A,0615,0615A,0616,0616A,0616B,0617,0617A,0700,0700A,0701,0710,0710A,0711,0712"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,MONTE DE PIEDAD NUMERO 2,AVE. TTE. AMADO GARCIA/ JUAN BTA. VICINI,VILLA CONSUELO,"0421,0421A,0422"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ASOCIACION DE DETALLISTAS DEL DISTRITO NACIONAL,C/JACINTO DE LA CONCHA 49,VILLA FRANCISCA,"0091,0091A,0092,0092A,0093,0093A,0098,0098A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,DIRECCION DE IMPUESTOS INTER- NOS ADM. SAN CARLOS,MEXICO ESQ. JACINTO DE LA CONCHA/VILLA FRANCISCA,VILLA FRANCISCA,"0084,0084A,0088,0088A,0089,0089A,0108,0108A,0111,0111A,0112,0112A,0118,0119,0120,0121,0122"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA REPUBLICA DE URUGUAY,CALLE CARACAS 57,VILLA FRANCISCA,"0096,0096A,0099,0099A,0100,0101,0102,0102A,0103,0104,0105,0105A,0106,0110,0110A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE ATENCION INTEGRAL PARA LA PRIMERA INFANCIA,C/ JOSE MARTI NO. 98 ESQ. AV. TENIENTE AMADO GARCIA GUERRERO,VILLA FRANCISCA,"0113,0113A,0114,0114A,1682"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,IGLESIA EVANGELICA MENONITA LUZ Y VIDA,AV. MEXICO ESQ. VICENTE NOBLE,VILLA FRANCISCA,"0097,0124,0124A,0133,0134,0134A,0135,0135A,0136,0136A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE ATENCION PRIMARIA POLICLINICA ZONA B,JOSEFA BREA ESQ. PARIS,VILLA FRANCISCA,"0137,0137A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CAMARA DE CUENTAS,CALLE PARIS ESQ. 27 DE FEBRERO,VILLA FRANCISCA,"0076,0076A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA SALESIANA SAGRADO CORAZON DE JESUS,MAURICIO BAEZ ESQ. MOCA,VILLA JUANA,"0473,0476,0476A,0493,0493A,0494,0494A,0495,0495A,0496,0496A,0497,0497A,0498,0498A,0499,0499A,0500,0500A,0501,0501A,0541,0541A,0542,0542A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA REPUBLICA DOMINI- CANA,CALLE SEIBO ESQ. CALLE MANUEL A. PEÑA BATLLE,VILLA JUANA,"0477,0477A,0478,0478A,0485,0486,0487,0487A,0488,0489,0490,0491,0492,0492A,0510,0511,0529,0529A,0530,0530A,0531,0531A,0535,0536,0537"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO INF. DE ATENCION INTE- GRAL -CONANI,FELIZ EVARISTO MEJIA NO.116,VILLAS AGRICOLAS,"0565,0565A,0566,0566A,0567,0567A,0714,0714A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB DEPORTIVO Y CULTURAL 12 JUEGOS,CALLE SAGRARIO E. DIAZ NO. 123,VILLAS AGRICOLAS,"0545,0546,1895"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,DIR.GRAL.DE ALIANZA PUBLICO PRIVADA(ANT.INST.AZUCARERO DOM.),AVENIDA JIMENEZ MOYA SEC- TOR LA JULIA,EL MANGUITO,"1489,1489A,1489B,1490,1490A,1518,1793,2006"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB RENACER,CALLE SAN MARTIN DE POR- RES NO. 1,SAN MARTIN DE POR- RES (GUACHUPITA),"0650,0650A,0651,0651A,0652,0652A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO ARROYO HONDO,LUIS AMIAMA TIO NO. 50,ARROYO HONDO,"1317,1317A,1317B,1317C,1317D,1317E,1317F,1536,1536A,1536B,1536C,1651,1661,1661A,1750,1850,1863,1918,1938,1974,2022"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA HOGAR ROSA DUARTE,AV.INDEPENDENCIA KML.7,DOMINICANOS AUS- ENTES,"0246,0246A,0247,0247A,0248,0248A,0249,0249A,1280,1280A,1285,1285A,1285B,1372,1372A,1514,1751"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA REPUBLICA DE COSTA RICA,CALLE B ESQ CALLE A URB. LOS RIOS,"KM. 7, LOS RIOS","1433,1433A,1433B,1433C,1434,1434A,1434B,1535,1653,1653A,1653B,1660,1660A,1688,1707,1711,1713,1722,1752,1779,1803,1851,1864,1919,1950,2023"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO DE AYUDA AL SORDO SANTA ROSA INC.,CALLE LUIS F. THOMEN NO.616,EL MILLON,"0285,0285A,0285B,0285C,1523,1804,1896"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,C. PARROQ. NTRA. SRA. DE LAS MERCEDES,MERCEDES 308 ESQ. SANCHEZ,ZONA COLONIAL,"0016,0016A,0017,0017A,1497"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESC. PARROQ. CARDENAL BERAS ROJAS,CALLE SANCHEZ 160,ZONA COLONIAL,"0013,0013A,0014"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA NACIONAL DE ARTES VISUALES,CALLE EL CONDE NO. 59,ZONA COLONIAL,"0002,0003,0003A,0018,0018A,0021,0022,0022A,0023,0024,0025,0025A,0026,0026A,0127,0127A,0128,0128A,0129,0132"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO DE EXCELENCIA SALOME UREÑA,CALLE PADRE BILLINI NO. 304,ZONA COLONIAL,"0001,0001A,0004,0005,0005A,0006,0006A,0007,0008,0008A,0009,0010,0011,0011A,0012,0012A,0019,0020,0020A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA BASICA REPUBLICA DE PARAGUAY,FCO.J.PEYNADO/ARZ.PORTES,CIUDAD NUEVA,"0138,0139,0139A,0140,0140A,0141,0141A,0142,0142A,0143,0143A,0144,0144A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO DE ONCOLOGIA DR. HERIBERTO PIETER,AV. BERNARDO CORREA Y CIDRON NO. 1,CIUDAD UNIVERSITARIA,"0189,0189A,0189B,1504,1897"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA SANTO DOMINGO,24 DE ABRIL ESQ. MAGNOLIA,LAS CAÑITAS,"0806,0806A,0807,0807A,0807B,0808,0808A,1544"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PRIMARIA Y BASICA LAS CAÑITAS,LUZ DEL ALBA/AMPARO,LAS CAÑITAS,"0804,0804A,0805,0805A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PUBLICA QUISQUEYA,PLAZA DE LA CULT./PRESA DE VALDESIA,EL MILLON,"0286,0286A,0286B,0287,0287A,0287B,0288,0288A,0289,0289A,0290,0290A,0291,0291A,0292,0292A,0292B,0293,0293A,0294,0294A,0295,0295A,0296,0296A,0296B,1753,1865,2024"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB COANCA,CALLE HERNAN SUAREZ NO.8,EL CACIQUE 1RO,"0226,0226A,0227,0227A,0227B,0228,0228A,1343,1343A,1510,1805,1898"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB LOS PRADOS,LORENZO DESPRADEL/MAX HENRIQUEZ UREÑA,LOS PRADOS,"0313,0313A,0313B,0313C,0313D,0313E,0313F,1288,1288A,1288B,1353,1353A,1353B,1353C,1353D,1529,1529A,1689,1723,1754,1806,2025"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO SAN JUDAS TADEO,F. FALCO /AV. CENTRAL,NACO,"0200,0200A,0200B,0201,0201A,0202,0202A,0203,0203A,0204,0204A,0204B,0205,0205A,0206,0206A,0207,0207A,1507,1975"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA SAN JUAN BAUTISTA DE LA SALLE,CALLE CAONABO NO. 1,CAPOTILLO,"0840,0840A,0841,0841A,0842,0842A,0843,0843A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO CAPOTILLO,CALLE CAPOTILLO NO. 44,CAPOTILLO,"0834,0834A,0835,0835A,0836,0836A,0837,0837A,0838,0838A,0839,0839A,0844,0844A,0845,0845A,0846,0846A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA PADRE VALENTIN SALINERO,DESIDERIO ARIAS 72,BELLA VISTA,"0266,0266A,0267,0267A,0268,0268A,0268B,0269,0269A,1358,1358A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO SAN JUAN BAUTISTA,AVENIDA HELIOS ESQ. CALLE ARRAYANES,BELLA VISTA,"0261,0261A,0261B,0261C,0261D,0262,0262A,0262B,0263,0263A,0264,0264A,0265,0265A,0265B,1517,1690,1755,1787,1807,1852,1867,1920,1951,1976"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO EDUCATIVO CAPOTILLO,DIEGO VELAZQUEZ 171,CAPOTILLO,"0569,0569A,0569B,0570,0570A,0571,0571A,0572,0572A,0827,0827A,0827B,0832,0832A,0833,0833A,0850,0850A,1368,1368A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CLUB DEPORTIVO Y CULTURAL SAMUEL SANTANA,C/LIBERTAD ESQ. 6,CAPOTILLO,"0739,0739A,0828,0828A,0829,0829A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA BASICA VARIAS LUCES,CALLE INTERIOR I MANZ. J,ESPAILLAT,"0728,0728A,0740,0744,0744A,0745,0745A,0746,0746A,0747,0747A,0754,0754A,0755,0755A,0756,0756A,0758,0759,0760,0796,0796A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,COLEGIO ADVENTISTA ESPAILLAT,CALLE 8 NO.150,ESPAILLAT,"0748,0748A,0749,0749A,0793,0793A,0803,0803A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,ESCUELA FATIMA OSCAR SAN- TANA,CALLE JOSE NICOLAS CASI- MIRO NO. 50,ESPAILLAT,"0751,0751A,0752,0752A,0753,0753A,0757,0757A,0767,0768,0769,0770,0771,0771A"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,INSTITUTO POLITECNICO PARRO- QUIAL SANTA ANA (IPOPSA),B MORGAN /OSCAR SANTANA,GUALEY,"0763,0763A,0764,0764A,0766,0766A,0772,0772A,0773,0773A,0774,0774A,0775,0775A,0776,0776A,0779,0779A,0780,0780A,0781,0781A,0782,0782A,0783,0783A,0784,0784A,0787,0789"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,CENTRO SANITARIO SANTO DOMINGO,GALVAN ESQ. FRANCIA 24,GAZCUE,"0164,0164A,0165,0165A,0166,0166A,1501"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,EDIFICIO DE IMPUESTOS INTER- NOS,AVENIDA MEXICO ESQUINA PEDRO LLUBERES,GAZCUE,"0159,0159A,0160,0160A,1500"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO ESTADOS UNIDOS DE AMERICA,MEXICO ESQ. DR. DELGADO,GAZCUE,"0167,0167A,0168,0168A,0169,0169A,1502,1869"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,PALACIO DE BELLAS ARTES,AVE. MAXIMO GOMEZ,INDEPENDENCIA ( CIU- DAD NUEVA Y GAZCUE ),"0148,0148A,0149,0149A,0150,0150A,0151,0151A,0151B,0152,0152A,0153,0153A,0154,0154A,0158,0158A,1499"
DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,LICEO TECNICO MARILLAC,AV. SAN MARTIN 258 ESQ. ORTEGA Y GASSET,KENNEDY,"0195,0196,0196A,0197,0197A,0198,0198A,0199,1978"
